outcome,variable,model,N,N_event,coef,se(coef),exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,C,MH_coef,MH_HR,MH_LL,MH_UL,MH_p,HR_CI,MH_CI,Concordance
died,aa_coefs_frailty_cmb_ffs,0,2160,274,0.5110479400600566,0.054718335143837574,1.6670372350136078,1.497507372025967,1.855759240211357,9.668910693424866e-21,0.6243577451631143,,,,,,1.67 (1.5; 1.86),nan (nan; nan),0.62
cancer_inc,aa_Gaddprotmet,7,1935,334,0.20217079593277013,0.05672807567576463,1.224057054225077,1.0952534642638556,1.368008155998141,0.0003654439565989137,0.583857880057945,-0.03339051400315137,0.9671607959987103,0.8572029764887418,1.0912234686216633,0.5876460859969862,1.22 (1.1; 1.37),0.97 (0.86; 1.09),0.58
cancer_inc,aa_Gaddprotmet,8,1924,334,0.16736628460940242,0.05962562135209481,1.1821872029922045,1.0517991922498506,1.3287389771892366,0.005001262174992818,0.585829407871686,-0.025163594801186642,0.9751503694477033,0.8631579699246922,1.1016734782822628,0.6860067079347257,1.18 (1.05; 1.33),0.98 (0.86; 1.1),0.59
cancer_inc,aa_Gaddprotmet,9,1878,328,0.18942758975927282,0.06077503872122507,1.2085576088735848,1.0728414642223094,1.3614420608034732,0.0018278526709744184,0.5887630888633555,-0.03171023435396845,0.9687872626784733,0.8557550537923674,1.0967493048025516,0.616391399864956,1.21 (1.07; 1.36),0.97 (0.86; 1.1),0.59
died,aa_Gaddmet,0,2160,274,0.20285602885045087,0.06197354586335114,1.2248961058518177,1.08479400406667,1.3830925175714162,0.0010631159842281485,0.5488675594140598,,,,,,1.22 (1.08; 1.38),nan (nan; nan),0.55
died,aa_Gaddmet,1,2160,274,0.23065486483285472,0.06118228917050682,1.259424492747548,1.1171041779308475,1.4198765739739327,0.0001632728373300486,0.6070682273942102,,,,,,1.26 (1.12; 1.42),nan (nan; nan),0.61
died,aa_Gaddmet,2,2136,268,0.21505287354932953,0.062058064999101686,1.23992745459835,1.0979241946255325,1.4002971245124163,0.0005295431660636081,0.6125048745612894,,,,,,1.24 (1.1; 1.4),nan (nan; nan),0.61
died,aa_Gaddmet,3,2125,265,0.16948157134795827,0.0641095399507658,1.1846905145826798,1.044803868315424,1.343306296908219,0.008202351560065015,0.6502388596520262,,,,,,1.18 (1.04; 1.34),nan (nan; nan),0.65
died,aa_Gaddmet,4,2075,256,0.14446704313483735,0.06468419091137308,1.1554236151959696,1.0178457240705123,1.3115973265709178,0.025521181594101803,0.6627285254232734,,,,,,1.16 (1.02; 1.31),nan (nan; nan),0.66
died,aa_Gaddmet,5,2160,274,0.05641836539972532,0.06853537202544527,1.0580402385826788,0.9250490688815155,1.2101510980532386,0.41039387773849834,0.6281471804002964,0.34455385792053606,1.4113601120510029,1.2518618980521963,1.5911798010530755,1.7888244860681003e-08,1.06 (0.93; 1.21),1.41 (1.25; 1.59),0.63
died,aa_Gaddmet,6,2160,274,0.01756622769634566,0.06875741054874282,1.0177214212641452,0.8894110110679497,1.1645424650817386,0.798351440373646,0.6606611668931899,0.40325423237763336,1.4966873496826436,1.3295034385720512,1.6848944934704335,2.51269029515727e-11,1.02 (0.89; 1.16),1.5 (1.33; 1.68),0.66
