outcome,variable,model,N,N_event,coef,se(coef),exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,C,MH_coef,MH_HR,MH_LL,MH_UL,MH_p,HR_CI,MH_CI,Concordance
died,aa_nn_cmb_ffs_mort,6,583,38,0.37447619174463104,0.1516609006189768,1.454229477675585,1.080286505330728,1.9576134324599077,0.0135427748301988,0.6957147261329771,0.3115732156925304,1.3655717640462384,0.9890171354663063,1.8854943720273736,0.0583749334343865,1.45 (1.08; 1.96),1.37 (0.99; 1.89),0.7
died,aa_nn_cmb_ffs_mort,7,581,38,0.3850907100525848,0.15185804119804366,1.4697476362799282,1.0913925160466111,1.9792678459764885,0.011217161508619537,0.7065744658891526,0.30740271472672936,1.3598885049416503,0.9863047676436242,1.8749749636621775,0.0606805302206224,1.47 (1.09; 1.98),1.36 (0.99; 1.87),0.71
died,aa_nn_cmb_ffs_mort,8,581,38,0.36595740917836317,0.15973561211758935,1.441893829903787,1.054304557515393,1.9719708142153751,0.02196228334663694,0.6987305191454226,0.31856285406027934,1.3751500522318205,0.99380035515619,1.902834564650538,0.054551111773111664,1.44 (1.05; 1.97),1.38 (0.99; 1.9),0.7
died,aa_nn_cmb_ffs_mort,9,581,38,0.35998347572551603,0.15983288383264668,1.4333057300273535,1.0478252018591372,1.9605992603386724,0.024306532013352262,0.7282485292599855,0.2997730215508153,1.3495524534864445,0.9590440152963612,1.8990701111340247,0.08542858959719776,1.43 (1.05; 1.96),1.35 (0.96; 1.9),0.73
died,aa_nn_cmb_frailty,0,996,68,0.44015733775655697,0.09329869926365215,1.5529515372014597,1.2934269513287,1.864549423853392,2.3849994108124403e-06,0.6356410102585638,,,,,,1.55 (1.29; 1.86),nan (nan; nan),0.64
died,aa_nn_cmb_frailty,1,996,68,0.5189984140469004,0.08924791193873584,1.6803437978341766,1.4106854499082246,2.0015484522814617,6.0545385460378334e-09,0.6671366008758773,,,,,,1.68 (1.41; 2.0),nan (nan; nan),0.67
died,aa_nn_cmb_frailty,2,993,68,0.5579388415752563,0.09351411978461327,1.7470678031252949,1.4544888524613901,2.098500723159077,2.4260569504754573e-09,0.6659745418434594,,,,,,1.75 (1.45; 2.1),nan (nan; nan),0.67
died,aa_nn_cmb_frailty,3,993,68,0.5497882541881018,0.1048164315370965,1.732886047653476,1.411074997372131,2.12808961943513,1.5607163166275202e-07,0.6847220968372905,,,,,,1.73 (1.41; 2.13),nan (nan; nan),0.68
died,aa_nn_cmb_frailty,4,993,68,0.5316776927214839,0.10664819692709619,1.7017849872770165,1.3807834669261605,2.097412238986714,6.185243475684644e-07,0.6951039691853992,,,,,,1.7 (1.38; 2.1),nan (nan; nan),0.7
died,aa_nn_cmb_frailty,5,583,38,0.2189177008799208,0.1417638791559851,1.2447288323844086,0.9427686159790594,1.643404160797252,0.12252977803192033,0.6452574247251054,0.45349948839533344,1.5738100900994385,1.154422003353866,2.145556990860268,0.004128635613515714,1.24 (0.94; 1.64),1.57 (1.15; 2.15),0.65
died,aa_nn_cmb_frailty,6,583,38,0.2669048558798594,0.1430876377004381,1.3059161901727354,0.9865495165124368,1.7286685231817989,0.062135952954411544,0.6487514130099682,0.3956700102495411,1.485379076797737,1.087976903836768,2.027939190627821,0.012746947877795924,1.31 (0.99; 1.73),1.49 (1.09; 2.03),0.65
died,aa_nn_cmb_frailty,7,581,38,0.341978471188267,0.1512472467425655,1.407729990433931,1.0465921503787525,1.893482313286942,0.02375579919070159,0.662503870368459,0.3757820905703605,1.4561297947837004,1.0700877516037341,1.9814393502580696,0.016803697867467774,1.41 (1.05; 1.89),1.46 (1.07; 1.98),0.66
died,aa_nn_cmb_frailty,8,581,38,0.3751678450793794,0.16757386024770377,1.4552356482638187,1.0478381262080043,2.021028572076823,0.025167577865147183,0.6540406646712768,0.37887047985759664,1.4606338419882818,1.0726459712352239,1.9889612020866838,0.016165593662486894,1.46 (1.05; 2.02),1.46 (1.07; 1.99),0.65
died,aa_nn_cmb_frailty,9,581,38,0.35631070498656103,0.1693931945551581,1.4280511819639752,1.02460394667387,1.9903594798057351,0.03542614751788801,0.6767468262978635,0.3729372914830273,1.4519932846323031,1.0527398950458275,2.002664198952513,0.023011053297151633,1.43 (1.02; 1.99),1.45 (1.05; 2.0),0.68
died,aa_nn_cmb_ffs_frailty,0,996,68,0.5114311261640495,0.09430111583144749,1.6676761429194016,1.3862528775114693,2.0062311593935878,5.84812991905146e-08,0.6956026156338113,,,,,,1.67 (1.39; 2.01),nan (nan; nan),0.7
died,aa_nn_cmb_ffs_frailty,1,996,68,0.5567521510979517,0.08710395240229442,1.744995804054059,1.4711310717318313,2.0698430035752375,1.6393060378965832e-10,0.7297978283040374,,,,,,1.74 (1.47; 2.07),nan (nan; nan),0.73
died,aa_nn_cmb_ffs_frailty,2,993,68,0.5876936617447396,0.0892399334713742,1.7998326021011042,1.5110225486210267,2.1438445101579298,4.532176035962136e-11,0.728325960699347,,,,,,1.8 (1.51; 2.14),nan (nan; nan),0.73
died,aa_nn_cmb_ffs_frailty,3,993,68,0.6517838055378937,0.11143371032025186,1.9189608307549155,1.5424587692933291,2.3873640860161705,4.943228120817193e-09,0.7400920826938702,,,,,,1.92 (1.54; 2.39),nan (nan; nan),0.74
died,aa_nn_cmb_ffs_frailty,4,993,68,0.6354301769620585,0.11237377850565872,1.8878340695347435,1.5146458030851697,2.3529708839101495,1.5619822767981092e-08,0.7451476031416449,,,,,,1.89 (1.51; 2.35),nan (nan; nan),0.75
died,aa_nn_cmb_ffs_frailty,5,583,38,0.29314233376997106,0.15107815377264144,1.340633594286068,0.9970389859996742,1.8026360647536095,0.05233890662320391,0.6581029698900421,0.4308168028784563,1.5385136728617934,1.1231676047796884,2.1074542316834206,0.00728664549535323,1.34 (1.0; 1.8),1.54 (1.12; 2.11),0.66
died,aa_nn_cmb_ffs_frailty,6,583,38,0.3237872160556435,0.14666304150630624,1.3823531332706627,1.0370010448742495,1.8427177045852843,0.027265564149634262,0.6631384235946973,0.37573723240023865,1.4560644769306772,1.0608566239002017,1.9985016949650054,0.020038930053585827,1.38 (1.04; 1.84),1.46 (1.06; 2.0),0.66
died,aa_nn_cmb_ffs_frailty,7,581,38,0.3958746587413695,0.1534479493726909,1.4856830884923036,1.0997932465644313,2.006971988896204,0.009883957081170805,0.6778821343791929,0.3532156602832189,1.4236381325325973,1.0388961954470881,1.9508643320507042,0.02799550939072757,1.49 (1.1; 2.01),1.42 (1.04; 1.95),0.68
died,aa_nn_cmb_ffs_frailty,8,581,38,0.49662476651426835,0.1892285907299805,1.6431658321837324,1.1339913119293368,2.380965289286365,0.008678392801713015,0.6726184332748477,0.34286502374630806,1.408978570442102,1.0269447217162764,1.9331328843555273,0.03360913827955232,1.64 (1.13; 2.38),1.41 (1.03; 1.93),0.67
died,aa_nn_cmb_ffs_frailty,9,581,38,0.48325956679556653,0.191074774347496,1.6213506992030935,1.114894621656179,2.357871352811177,0.011433437347350134,0.6930539787387759,0.3267651891485746,1.3864758793731327,0.9945721400112977,1.9328063664257327,0.053873363107099115,1.62 (1.11; 2.36),1.39 (0.99; 1.93),0.69
died,aa_GDF15,0,996,68,0.49118280915738044,0.08930433544251222,1.6342480808142112,1.3718353681262796,1.9468566357877168,3.7957509879974125e-08,0.6847591337212791,,,,,,1.63 (1.37; 1.95),nan (nan; nan),0.68
died,aa_GDF15,1,996,68,0.5746860566825097,0.08479311606770798,1.7765726962289954,1.5045511327531071,2.0977755267186975,1.222660429128809e-11,0.7216389705441238,,,,,,1.78 (1.5; 2.1),nan (nan; nan),0.72
died,aa_GDF15,2,993,68,0.6191464354645602,0.08720244103406352,1.8573420037851032,1.5655430986352514,2.20352880864904,1.2466267945114186e-12,0.7113538563389606,,,,,,1.86 (1.57; 2.2),nan (nan; nan),0.71
died,aa_GDF15,3,993,68,0.6030184101460134,0.09189856519364058,1.8276270111023827,1.5263824624114652,2.188324731164665,5.3168278806487536e-11,0.7108422858174596,,,,,,1.83 (1.53; 2.19),nan (nan; nan),0.71
died,aa_GDF15,4,993,68,0.5922529509195279,0.09246184177964255,1.808057294528571,1.5083722225948046,2.167284130089784,1.4999831059016304e-10,0.7215250820017454,,,,,,1.81 (1.51; 2.17),nan (nan; nan),0.72
died,aa_GDF15,5,583,38,0.3709327635720475,0.13945374808454544,1.4490856387689555,1.1025309933405163,1.9045715731983,0.007816428911345232,0.6888295139245709,0.2950797713868636,1.3432335060122307,0.9563983442715872,1.8865321782296514,0.08862107576747658,1.45 (1.1; 1.9),1.34 (0.96; 1.89),0.69
