,variable,model,N,Coef,Std Err,t-value,P,LL,UL,R-squared,Age_coef,Age_LL,Age_UL
141,nn_cmb_mh_frailty,3,4264,    0.0366,    0.001,   33.832, 0.000,    0.034,    0.039,0.7951538586807639,    0.0023,    0.002,    0.002
142,nn_cmb_mh_frailty,4,4243,    0.0321,    0.001,   26.048, 0.000,    0.030,    0.035,0.7971603782111268,    0.0017,    0.002,    0.002
143,nn_cmb_mh_frailty,5,4122,    0.0328,    0.001,   25.597, 0.000,    0.030,    0.035,0.7978450832877877,    0.0017,    0.001,    0.002
144,mortScore,0,4320,    0.0167,    0.002,    7.323, 0.000,    0.012,    0.021,0.012264501467993516,,,
145,mortScore,1,4320,    0.0167,    0.001,   14.460, 0.000,    0.014,    0.019,0.746733559446952,    0.0022,    0.002,    0.002
146,mortScore,2,4320,    0.0165,    0.001,   13.863, 0.000,    0.014,    0.019,0.7467690395566713,    0.0023,    0.002,    0.002
147,mortScore,3,4264,    0.0157,    0.001,   13.129, 0.000,    0.013,    0.018,0.750220976719017,    0.0025,    0.002,    0.003
148,mortScore,4,4243,    0.0115,    0.001,    9.812, 0.000,    0.009,    0.014,0.7699073923962322,    0.0009,    0.001,    0.001
149,mortScore,5,4122,    0.0111,    0.001,    9.281, 0.000,    0.009,    0.013,0.7704559386798987,    0.0010,    0.001,    0.001
150,GDF15,0,4320,    0.0225,    0.002,    9.888, 0.000,    0.018,    0.027,0.022135926464907696,,,
151,GDF15,1,4320,    0.0225,    0.001,   19.817, 0.000,    0.020,    0.025,0.7566049844438667,    0.0022,    0.002,    0.002
152,GDF15,2,4320,    0.0234,    0.001,   20.615, 0.000,    0.021,    0.026,0.7591997949925798,    0.0024,    0.002,    0.002
153,GDF15,3,4264,    0.0221,    0.001,   19.189, 0.000,    0.020,    0.024,0.7607911275284893,    0.0025,    0.002,    0.003
154,GDF15,4,4243,    0.0178,    0.001,   15.534, 0.000,    0.016,    0.020,0.7773591243190858,    0.0011,    0.001,    0.001
155,GDF15,5,4122,    0.0178,    0.001,   15.167, 0.000,    0.015,    0.020,0.778060072602199,    0.0011,    0.001,    0.001
